0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
3pa * 3p%,guard stuff,gl per / gl drtg,conditional labels,From,GL20-Ast,GL20-Reb,Gl3Papg,GL40-Pts,GL5-Blk,GL5-Stl,Gl 3Pa,Gl 3Pmpg,Gl 3Pm,GL 3P per,Gl Astpg,Gl Ast,GL AST per,GL Ast to TO,Gl Blkpg,Gl Blk,GL BLK per,Gl Drbpg,Gl Drb,GL DRB per,GL DRtg,Gl Dws,GL Dbl-Dbl,Gl Fgapg,Gl Fga,Gl Fgmpg,Gl Fgm,GL FG per,Gl Fic,Gl Ftapg,Gl Fta,Gl Ftmpg,Gl Ftm,GL FT over FGA,GL FT per,Gl Gp,Gl Hob,GL High-Game,Gl L,GL_MIN36,Gl Min,Gl Orbpg,Gl Orb,GL ORB per,Gl Ows,GL Ortg,Gl Per,Gl Pfpg,Gl Pf,Gl Ppr,Gl Pps,Gl Ptspg,Gl Pts,GL_Pos,Gl Rebpg,Gl Reb,Gl Stlpg,Gl Stl,GL STL per,GL Stl to TO,Gl Tovpg,Gl Tov,GL TOV per,GL TRB per,Gl Ts,GL Team,GL Techs,GL TotalS per,GL Tpl-Dbl,Gl Usg,Gl Ws,Gl W,GL Win per,GL eDiff,GL eFG,NBA Clusters,GLeague Positions,GLeague Clusters,Nba 2Papg,Nba 2Pa,Nba 2Ppg,Nba 2P,NBA 2P per,Nba 3Papg,Nba 3Pa,NBA 3PAr,Nba 3Ppg,Nba 3P,NBA 3P per,Nba Astpg,Nba Ast,NBA AST per,Nba Blkpg,Nba Blk,NBA BLK per,Nba Bpm,Nba Dbpm,Nba Drbpg,Nba Drb,NBA DRB per,NBA DRtg,Nba Dws,Nba Fgapg,Nba Fga,Nba Fgpg,Nba Fg,NBA FG per,Nba Ftapg,Nba Fta,Nba Ftpg,Nba Ft,NBA FT per,NBA FTr,Nba Gs,Nba G,NBA_MPG,Nba Mp,Nba Obpm,Nba Orbpg,Nba Orb,NBA ORB per,Nba Ows,NBA Ortg,Nba Per,Nba Pfpg,Nba Pf,Nba Ptspg,Nba Pts,Nba Stlpg,Nba Stl,NBA STL per,Nba Tovpg,Nba Tov,NBA TOV per,Nba Trbpg,Nba Trb,NBA TRB per,Nba Ts,NBA Team,NBA USG per,Nba Vorp,Nba Ws/48,Nba Ws,NBA eFG,Number of Records,Player,To,realgm ID,ref ID
0.4912,86.540844,0.159380692,Gary Payton,2017,0,0,5.3,1,0,2,238,1.6,73,0.307,3.6,162,13.9,2.1,0.7,33,1.7,5.2,232,15.6,109.8,1.4,9,12.3,550,6.2,274,0.498,655.9,2.3,103,1.6,72,0.2,0.699,49,0.207,51,18,32.7,1603.4,2,88,6.1,3.5,121.6,17.5,2.9,128,1.9,1.3,15.6,693,Wing,7.2,320,2.2,98,2.8,1.3,1.7,77,11.5,10.9,0.582,RGV,2,150.4,0,16.8,4.9,31,0.633,11.8,0.565,Facilitators,Wing,Low Usage Defenders,4.7,13,2.5,7,0.538,3.3,9,0.409,0.4,1,0.111,4.7,13,18.1,1.5,4,3.6,-6.7,0.6,4.4,12,14,109,0.1,8,22,2.9,8,0.364,1.8,5,1.1,3,0.6,0.227,0,6,16.5,99,-7.3,0,0,0,-0.3,74,4.5,3.3,9,7.3,20,1.1,3,1.5,3.6,10,29.2,4.4,12,7.1,0.413,MIL,15.8,-0.1,-0.074,-0.2,0.386,1,Gary Payton,2017,/player/Gary-Payton-II/Summary/80992,/players/p/paytoga02.html
0,0,0.237899073,,2016,0,1,0,0,16,1,2,0,0,0,1.7,81,7.4,0.6,4.7,228,11,7.9,384,23.2,97.1,4.2,22,10.7,523,6.5,319,0.61,929.5,4,194,2.8,138,0.4,0.711,77,0.135,23,24,22.9,1760,4.7,230,15.3,3.8,118.1,23.1,5,243,-5,1.5,15.9,776,Non-Shooting Big,12.6,614,1.1,52,1.5,0.4,2.8,139,18.6,19.4,0.638,905,4,132.1,1,18.6,8,53,0.688,21,0.61,Non Shooting Rebounders,Non-Shooting Big,Inside Scoring Bigs ,8.6,24,5.3,15,0.625,0,0,0,0,0,,1.4,4,6,4.3,12,9.5,-0.6,4,7.5,21,22.2,99,0.2,8.6,24,5.3,15,0.625,3.9,11,1.1,3,0.273,0.458,0,13,7.769230769,101,-4.6,3.9,11,12.3,0,103,16.3,3.9,11,11.8,33,0.4,1,0.5,2.5,7,19.5,11.4,32,17.4,0.572,TOT,15.8,0,0.118,0.2,0.625,1,Edy Tavares,2017,/player/Edy-Tavares/Summary/39662,/players/t/tavarwa01.html
0.6552,53.371136,0.140350877,Coby Karl,2010,0,0,4.9,0,0,1,613,1.8,223,0.364,5.5,697,23.2,1.8,0.4,45,0.7,3.8,483,11.7,108.3,4.4,12,11.4,1432,5,624,0.436,1475.9,5.2,653,4.1,520,0.5,0.796,122,0.279,36,63,37.1,4526.9,0.9,115,2.6,7.6,112.9,15.2,3.2,405,1.9,1.4,15.8,1991,Guard,4.8,598,1.3,166,1.8,0.4,3,379,18.1,7.1,0.579,RNO,8,159.6,2,19.5,12,59,0.484,4.6,0.514,Facilitators,Guard,Facilitators,6.7,21,2.9,9,0.429,3.5,11,0.344,0.6,2,0.182,4.8,15,17.9,0.3,1,0.6,-7.1,-1.6,4.5,14,14,113,0,10.2,32,3.5,11,0.344,1.9,6,1.3,4,0.667,0.188,1,7,16.14285714,113,-5.5,1.3,4,3.9,-0.2,82,5.1,4.5,14,8.9,28,1,3,1.3,3.2,10,22.4,5.7,18,8.9,0.404,TOT,17,-0.1,-0.076,-0.2,0.375,1,Coby Karl,2010,/player/Coby-Karl/Summary/788,/players/k/karlco01.html
0.5544,38.40606,0.173745174,,2017,0,1,2.6,0,1,0,65,1.2,30,0.462,2.4,60,10.2,1,1.4,34,3.3,6.6,165,20.1,103.6,1.5,4,12.7,318,6.1,154,0.484,371.1,3.3,83,2.8,71,0.3,0.855,37,0.147,28,13,24.4,901.9,2.8,70,9,1.5,114.5,18,2.2,56,-2.2,1.3,16.3,409,Wing,9.4,235,1.2,31,1.7,0.5,2.4,59,14.3,14.7,0.577,TEX,0,180.1,0,19.7,3,24,0.649,10.9,0.531,Low Usage 3 + Ds,Shooting Big,Low Usage Defenders,9.1,29,4.1,13,0.448,2.8,9,0.237,0.9,3,0.333,2.8,9,12.8,1.3,4,3.1,-1.4,0.7,4.4,14,14.9,109,0.1,11.9,38,5,16,0.421,2.2,7,1.6,5,0.714,0.184,0,9,12.77777778,115,-2.1,2.5,8,7.7,0.1,107,13.9,2.5,8,12.5,40,0.6,2,0.9,0.9,3,6.8,6.9,22,11.1,0.487,DAL,18.1,0,0.083,0.2,0.461,1,Jarrod Uthoff,2017,/player/Jarrod-Uthoff/Summary/24236,/players/u/uthofja01.html
0.5516,75.54162,0.114337568,,2012,0,0,3.4,0,0,3,545,1.4,215,0.394,6.2,988,24.9,2.6,0.1,12,0.2,3.1,499,9.8,110.2,4,11,9.2,1464,4,635,0.434,1652.4,2.2,345,1.7,263,0.2,0.762,229,0.181,32,102,25,5728.9,0.6,103,2.1,6.5,110.3,12.6,3,473,4.9,1.2,11,1748,Guard,3.8,602,1.7,272,2.4,0.7,2.4,381,19.1,6,0.541,AUS,0,159.1,0,15.2,10.5,127,0.555,0.1,0.507,Facilitators,Guard,Facilitators,6.1,20,2.1,7,0.35,4.5,15,0.429,1.2,4,0.267,6.7,22,29.4,0,0,0,-4.5,-1.3,2.4,8,7.9,104,0.1,10.6,35,3.3,11,0.314,0.9,3,0.3,1,0.333,0.086,0,15,7.933333333,119,-3.2,0.3,1,1,-0.1,86,8.9,3.3,11,8.2,27,2.4,8,3.7,2.1,7,16.2,2.7,9,4.5,0.372,NOH,17.2,-0.1,-0.003,0,0.371,1,Carldell Johnson,2012,/player/Squeaky-Johnson/Summary/1760,/players/j/johnsca01.html
0,0,0.219028741,,2014,0,1,0,0,1,0,1,0,0,0,1.3,116,6.6,0.5,1.2,103,2.6,8.9,781,28.2,100.9,5.7,68,13,1137,7.8,686,0.603,1516.2,7,614,3.7,324,0.5,0.528,116,0.185,32,47,27.2,3157.3,4.8,421,15.7,7,114.3,22.1,3.6,317,-5.5,1.5,19.3,1696,Non-Shooting Big,13.7,1202,0.9,79,1.3,0.3,2.8,243,14.7,22,0.603,CAN,8,113.1,0,23.2,12.7,69,0.595,13.5,0.603,Non Shooting Rebounders,Non-Shooting Big,Inside Scoring Bigs ,6.6,23,4.3,15,0.652,0,0,0,0,0,,2.6,9,10.9,1.1,4,2.5,-2.1,-0.4,6.9,24,22.3,111,0.1,6.6,23,4.3,15,0.652,2.9,10,1.1,4,0.4,0.435,1,19,6.631578947,126,-1.7,3.1,11,9.7,0.2,118,14.5,3.4,12,9.7,34,0.3,1,0.4,1.4,5,15.4,10,35,15.8,0.62,TOT,11.4,0,0.095,0.2,0.652,1,Arinze Onuaku,2017,/player/Arinze-Onuaku/Summary/2316,/players/o/onuakar01.html
0.9516,58.56732,0.125703565,,2014,0,0,7,0,0,1,546,2.6,200,0.366,3,233,12.7,2.6,0.3,21,0.5,4.9,382,14.4,106.6,3.7,6,11.2,870,4.6,359,0.413,869.4,2.8,215,2.2,170,0.2,0.791,78,0.202,33,29,35.9,2801.2,0.9,68,2.6,4.8,118.5,13.4,2.1,162,2.5,1.3,14,1088,Wing,5.8,450,1,76,1.3,0.9,1.1,89,8.4,8.5,0.564,MNE,1,157,0,16.1,8.5,49,0.628,11.9,0.528,Low Usage 3 + Ds,Wing,Low Usage Defenders,0.8,3,0.5,2,0.667,7.4,27,0.9,1.6,6,0.222,0.8,3,3.3,0,0,0,-4.4,-0.7,3.5,13,11.5,108,0.1,8.2,30,2.2,8,0.267,0,0,0,0,,0,0,14,9.428571429,132,-3.7,1.1,4,3.3,-0.1,82,3.7,3.5,13,6,22,1.6,6,2.3,0.8,3,9.1,4.6,17,7.3,0.367,BOS,11.1,-0.1,-0.008,0,0.367,1,Chris Babb,2014,/player/Chris-Babb/Summary/3969,/players/b/babbch01.html
0.8809,26.07464,0.148215919,,2012,0,0,5.9,0,0,0,627,2.3,240,0.383,1.7,177,7.4,1,0.7,72,1.5,5.5,583,16.7,109.3,3.3,27,14.9,1569,6.8,717,0.457,1326.1,3.2,341,2.6,270,0.2,0.792,135,0.168,35,65,28.1,3794.4,2.6,271,7.4,7.2,115.1,16.2,3.4,363,-1.3,1.2,18.4,1944,Wing,8.1,854,0.8,80,1,0.5,1.6,169,9,11.9,0.565,SBL,3,163.2,0,20.7,10.5,70,0.519,5.8,0.533,Low Usage 3 + Ds,Wing,Swiss Army Knives,5.8,24,2.4,10,0.417,7,29,0.547,1.9,8,0.276,1,4,4.4,0.7,3,1.6,-8.4,-2.1,3.1,13,10,108,0.1,12.7,53,4.3,18,0.34,0.7,3,0.2,1,0.333,0.057,0,22,6.818181818,150,-6.3,1.2,5,3.7,-0.4,75,3.6,2.4,10,10.8,45,0.7,3,1.1,2.9,12,18.1,4.3,18,6.8,0.414,TOT,20.1,-0.2,-0.093,-0.3,0.415,1,Justin Harper,2017,/player/Justin-Harper/Summary/10687,/players/h/harpeju01.html
0.2457,50.051196,0.149954833,,2011,1,0,2,3,0,0,251,0.7,88,0.351,4.9,600,23.3,1.6,0.1,8,0.1,3.2,388,9.9,110.7,3.1,8,15.6,1909,7.4,911,0.477,1350,6,738,4.8,593,0.4,0.804,125,0.318,48,63,35.3,4413.4,0.7,85,2.3,6.5,108.7,16.6,2.6,317,0.8,1.3,20.4,2503,Guard,3.9,473,0.8,95,1.1,0.3,3,365,14,6.2,0.56,BAK,0,163.1,0,26.1,9.6,62,0.496,-1.9,0.5,Low Usage 3 + Ds,Guard,Swiss Army Knives,10.2,44,4.4,19,0.432,0.7,3,0.064,0.2,1,0.333,3.5,15,14.9,0.2,1,0.5,-6.1,-2.9,3.3,14,10.7,113,0,10.9,47,4.6,20,0.426,3.5,15,3.3,14,0.933,0.319,0,19,8.157894737,155,-3.2,1.2,5,3.8,0.1,101,9.7,5.1,22,12.8,55,0.5,2,0.7,2.3,10,15.7,4.4,19,7.3,0.513,TOT,18.7,-0.2,0.032,0.1,0.436,1,Trey Johnson,2012,/player/Trey-Johnson/Summary/932,/players/j/johnstr01.html
