ID,GP,ORTG,DRTG,NRTG,ASTPER,OREBPER,DREBPER,eFG,TS,USG
1629356,4,93.7,92.0,92.0,112.1,-18.4,-15.7,1.5,26.1,0.032
1629200,16,92.2,92.4,92.4,102.4,-10.2,-8.4,0.9,8.7,0.031
1627846,3,117.2,116.1,116.1,95.4,21.8,17.6,1.38,14.1,0.047
203583,14,113.5,112.1,112.1,101.1,12.4,13.1,3.15,41.3,0.014
1627967,3,93.5,86.0,86.0,123.0,-29.5,-27.0,0.0,0.0,0.185
1628596,12,101.9,101.7,101.7,118.5,-16.5,-17.3,2.4,15.0,0.005
1626210,11,103.3,104.5,104.5,97.0,6.3,9.5,0.76,8.3,0.116
1629346,14,108.0,106.4,106.4,96.4,11.6,12.2,0.48,5.9,0.11
1627936,12,95.8,97.2,97.2,104.8,-9.1,-6.6,1.46,25.3,0.024
1628993,9,108.5,110.1,110.1,106.6,1.9,4.1,1.04,13.3,0.129
1628578,14,100.0,99.6,99.6,103.9,-3.8,-5.3,0.58,12.9,0.105
1628518,14,104.6,105.0,105.0,106.3,-1.7,-1.2,1.26,14.2,0.106
1627958,6,87.1,84.9,84.9,121.6,-34.6,-29.9,1.5,16.7,0.0
201281,9,100.9,101.2,101.2,110.6,-9.6,-9.8,1.0,6.3,0.02
1628510,14,99.0,97.6,97.6,108.1,-9.1,-10.9,0.45,4.3,0.007
1629116,13,106.6,107.3,107.3,108.9,-2.4,0.2,1.0,14.3,0.123
1629285,9,102.8,103.1,103.1,96.6,6.2,6.3,1.92,25.7,0.044
203461,11,113.6,113.0,113.0,115.2,-1.6,-0.4,1.17,10.5,0.057
1629446,4,101.2,99.1,99.1,115.2,-14.0,-14.4,0.0,0.0,0.083
1627372,10,101.5,100.0,100.0,102.5,-1.0,0.0,0.14,4.2,0.14
1628850,12,105.6,103.4,103.4,104.6,1.0,2.0,0.89,12.6,0.054
1628499,9,108.1,108.8,108.8,104.8,3.3,3.8,1.38,12.1,0.041
1628032,10,115.2,111.5,111.5,115.8,-0.5,-4.0,2.11,35.8,0.017
1629168,14,105.3,103.4,103.4,108.6,-3.4,-2.4,0.61,9.2,0.036
1628500,12,112.2,113.3,113.3,102.0,10.2,10.3,0.88,11.2,0.1
1628656,16,104.4,102.8,102.8,91.7,12.6,11.1,1.55,18.9,0.005
1629009,10,96.0,95.3,95.3,94.2,1.8,2.4,0.58,8.1,0.026
