Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
AJ Hammons,1627773,SXF,25,25,12.8,0.1,10.9,1.6,15.3,504.63,6.8,0.536,1.0,0.071,1.6,2.1,0.759,1.6,0.9,3.5
Aaron Best,1628700,RAP,26,47,8.4,1.9,3.5,2.4,10.8,1226.5666666666666,3.6,0.427,5.0,0.376,1.8,2.2,0.813,1.6,0.9,0.0
Aaron Harrison,1626151,RNO,23,41,17.5,3.7,5.8,2.2,24.9,1104.7133333333334,7.6,0.436,8.7,0.425,6.0,7.1,0.839,1.9,1.4,0.4
Abdel Nader,1627846,MNE,24,4,16.3,2.2,5.6,1.5,20.7,147.81666666666666,6.8,0.418,5.4,0.409,4.9,5.8,0.833,3.7,1.0,1.7
Adam Woodbury,1627967,WES,24,45,8.6,0.0,12.4,2.2,12.2,728.235,4.2,0.491,0.0,0.0,3.8,4.9,0.76,2.1,0.8,0.7
Adreian Payne,203940,LAK,27,17,15.0,1.2,11.6,2.3,18.8,457.2366666666667,6.6,0.442,4.0,0.294,4.4,5.0,0.875,3.3,1.3,1.1
Akeem Springs,1628596,SLC,24,28,12.4,2.9,3.8,1.8,12.8,489.56,4.6,0.369,8.7,0.331,0.8,1.5,0.524,1.4,1.1,0.3
Akil Mitchell,204064,LIN,25,30,9.1,0.4,9.2,2.6,11.7,787.55,5.2,0.571,1.4,0.258,1.0,2.6,0.368,2.6,1.3,1.1
Alan Anderson,101187,LAK,35,15,16.3,2.2,4.5,3.2,22.0,360.52166666666665,8.1,0.497,6.2,0.355,3.6,4.9,0.735,2.8,1.8,0.1
Alan Williams,1626210,NAS,25,3,24.1,0.0,14.4,2.1,24.7,70.09,11.3,0.468,0.0,0.0,2.1,3.6,0.571,3.6,1.5,3.1
Alec Peters,1628409,NAS,23,35,13.9,3.9,7.6,2.1,18.6,1188.0666666666666,6.5,0.466,9.6,0.411,1.7,2.0,0.851,1.2,0.6,0.3
Alex Caruso,1627936,SBL,24,29,15.3,1.7,4.4,9.2,22.3,888.5616666666666,7.6,0.499,4.5,0.387,5.3,6.4,0.824,4.9,2.3,0.5
Alex Hamilton,1628174,WCB,24,45,11.3,0.6,5.0,6.4,13.1,1250.3583333333333,5.1,0.45,1.9,0.328,2.4,3.5,0.683,2.8,2.6,0.6
Alex Marzette,1627406,WIS,25,4,8.1,0.0,6.8,2.7,5.4,26.55,1.4,0.167,0.0,0.0,2.7,5.4,0.5,0.0,1.4,0.0
Alex Poythress,1627816,FWN,24,7,16.9,0.8,9.4,2.9,21.2,237.945,8.2,0.482,3.3,0.227,4.1,6.1,0.675,2.7,0.9,1.4
