Name,ID,Team,Age,GP,FGA,3PM,REB,AST,PTS,MIN,FGM,FGP,3PA,3PPER,FTM,FTA,FTPER,TOV,STL,BLK
AJ Mosby,1629356,NAS,22,4,8.8,1.4,4.1,4.1,10.2,53.13666666666666,4.1,0.462,4.1,0.333,0.7,0.7,1.0,2.7,2.0,0.0
Aaron Epps,1629200,NAS,22,16,8.4,2.4,8.7,0.9,9.9,364.56666666666666,3.8,0.447,5.8,0.407,0.0,0.0,0.0,1.0,0.6,1.4
Abdel Nader,1627846,OKL,25,3,21.3,2.0,8.0,4.4,29.4,89.45,10.9,0.509,7.6,0.263,5.6,8.0,0.7,3.2,2.0,0.0
Abdul Gaddy,203583,OKL,26,14,9.1,0.8,4.0,9.0,11.8,426.7416666666667,5.1,0.556,2.2,0.346,0.9,1.9,0.5,2.9,0.9,0.2
Adam Woodbury,1627967,GRD,24,3,12.2,0.0,16.3,0.0,19.0,26.55,8.1,0.667,0.0,0.0,2.7,4.1,0.667,4.1,1.4,0.0
Akeem Springs,1628596,SLC,24,12,11.4,2.4,3.0,2.2,10.8,193.23833333333334,3.7,0.328,8.2,0.295,0.9,0.9,1.0,0.9,0.6,0.4
Alan Williams,1626210,LIN,25,11,20.8,0.1,18.5,2.5,27.6,276.69666666666666,10.8,0.519,0.8,0.167,5.9,7.7,0.763,3.3,0.8,1.2
Alen Smailagic,1629346,SCW,18,14,15.5,1.0,9.4,1.3,21.0,274.9266666666667,7.9,0.508,4.1,0.258,4.2,5.6,0.744,2.7,2.0,2.0
Alex Caruso,1627936,SBL,24,12,13.8,1.5,5.1,7.2,17.7,334.0083333333333,5.8,0.422,5.6,0.269,4.5,5.8,0.778,5.0,2.5,0.8
Alize Johnson,1628993,FWN,22,9,14.1,1.1,12.9,2.7,18.0,341.51166666666666,7.5,0.53,2.5,0.417,2.0,2.3,0.864,2.6,0.9,0.3
Amida Brimah,1628578,AUS,24,14,7.3,0.0,10.6,2.1,12.0,365.93,4.7,0.649,0.0,0.0,2.6,6.5,0.394,3.5,0.4,4.4
Amile Jefferson,1628518,LAK,25,14,13.7,0.0,12.0,2.9,18.5,481.6666666666667,7.8,0.568,0.1,0.0,2.9,3.9,0.75,2.3,1.0,0.7
Amjyot Singh,1627958,OKL,26,6,12.0,2.8,0.9,2.8,8.3,38.94833333333333,2.8,0.231,10.2,0.273,0.0,0.0,0.0,1.8,0.0,0.0
Andre Ingram,201281,SBL,33,9,12.1,2.6,3.7,0.9,13.6,235.75,4.6,0.38,6.9,0.378,1.8,2.7,0.667,0.9,0.5,0.2
Andrew White III,1628510,MNE,25,14,12.5,2.1,3.9,0.7,11.8,274.0966666666667,4.2,0.337,7.2,0.291,1.3,1.7,0.769,1.4,0.4,0.7
Angel Delgado,1629116,ACC,24,13,13.6,0.2,15.6,3.0,17.6,426.605,7.9,0.584,0.8,0.222,1.5,2.8,0.545,3.0,0.8,1.0
Angel Rodriguez,1629285,RGV,26,9,14.5,1.8,5.3,6.8,16.9,245.32333333333332,5.9,0.404,5.1,0.343,3.4,3.8,0.885,3.5,2.6,0.1
Anthony Bennett,203461,ACC,25,11,13.3,4.0,8.7,2.1,25.4,240.84,8.2,0.618,8.1,0.5,4.9,5.8,0.846,1.8,1.6,0.6
Anthony Roberson,1629446,OKL,24,4,9.8,0.0,6.3,0.0,8.4,51.62,4.2,0.429,1.4,0.0,0.0,0.0,0.0,4.2,1.4,0.7
Anthony Walker,1627372,STO,25,10,7.9,0.0,11.3,0.6,13.1,118.38833333333334,5.8,0.731,0.0,0.0,1.5,3.6,0.417,4.3,0.6,3.6
