ID,PTS,REB,AST,STL,BLK,TOV,FGper,threeper,FTper
203705,9.22,3.07,7.85,1.46,0.14,2.4,0.366,0.292,0.752
1626266,8.81,3.62,2.08,1.06,0.32,1.0,0.437,0.3,0.748
1626188,13.52,3.3,5.79,0.95,0.19,2.79,0.421,0.328,0.798
203505,13.15,3.61,3.36,1.32,0.1,1.91,0.384,0.3,0.751
204098,12.44,3.69,4.41,1.22,0.38,2.83,0.414,0.329,0.731
202918,11.27,3.2,1.65,1.07,0.19,1.55,0.39,0.319,0.784
203104,11.01,2.76,5.53,0.9,0.22,2.02,0.396,0.331,0.731
1627208,9.43,5.2,1.6,1.15,0.35,1.12,0.41,0.298,0.749
1627389,10.55,3.58,5.4,1.33,0.15,2.69,0.377,0.294,0.731
203687,9.55,4.39,1.5,0.83,0.27,1.09,0.39,0.328,0.745
204066,11.63,3.23,2.57,1.31,0.24,1.86,0.399,0.306,0.759
203998,9.45,5.75,1.09,1.18,1.26,1.25,0.409,0.299,0.741
202407,10.9,5.42,2.86,1.47,0.59,2.2,0.378,0.304,0.728
1626177,12.67,8.02,2.0,0.39,1.08,2.33,0.483,0.207,0.675
204065,11.52,3.21,5.43,1.55,0.3,2.2,0.395,0.321,0.765
1627772,10.32,7.47,6.12,1.15,0.21,3.75,0.379,0.288,0.747
1627779,9.39,2.29,3.54,1.18,0.29,1.93,0.381,0.312,0.767
1626174,13.69,8.83,1.46,1.01,1.38,1.98,0.472,0.283,0.737
1628120,8.17,2.49,2.63,1.51,0.4,1.57,0.375,0.303,0.778
1627362,9.76,5.36,5.83,2.07,0.21,2.61,0.416,0.302,0.752
1627589,6.62,3.93,7.06,1.59,0.16,2.61,0.363,0.267,0.721
203927,9.04,4.9,1.43,1.06,0.69,1.02,0.429,0.272,0.753
1626148,10.67,3.61,2.97,0.76,0.28,2.14,0.402,0.33,0.745
204192,11.61,7.81,1.45,1.18,1.97,1.97,0.434,0.3,0.734
1627982,11.55,3.93,5.55,1.81,0.16,2.45,0.398,0.324,0.711
1626263,6.64,3.95,5.16,2.01,0.2,2.06,0.379,0.297,0.748
1627866,11.79,7.65,1.77,1.06,0.96,1.08,0.475,0.274,0.684
1627853,7.23,3.61,5.64,1.26,0.2,1.95,0.402,0.342,0.759
204179,11.89,6.33,1.33,0.69,0.68,1.18,0.436,0.331,0.743
1626151,12.85,4.28,2.2,1.19,0.35,1.61,0.39,0.331,0.762
1628176,9.9,4.29,1.21,0.94,0.48,0.86,0.402,0.302,0.764
1627766,10.4,4.16,4.2,1.48,0.29,2.18,0.392,0.311,0.733
201281,8.74,3.11,1.69,1.01,0.33,0.73,0.408,0.357,0.758
1627883,12.31,6.56,1.67,0.84,0.47,1.84,0.436,0.286,0.731
1627215,12.29,3.47,4.86,1.52,0.25,2.52,0.415,0.288,0.73
204067,10.29,4.03,1.25,0.85,0.4,1.1,0.433,0.338,0.792
1628035,10.12,7.61,0.89,0.78,0.43,1.29,0.443,0.298,0.703
1627897,9.03,6.75,2.75,1.32,0.51,1.49,0.448,0.318,0.702
1628095,9.77,3.23,2.22,1.09,0.25,1.64,0.381,0.308,0.756
1627784,10.43,7.2,1.81,0.96,0.96,0.99,0.44,0.321,0.759
