ID,height,height_inches,weight,pos
203518,6-6,78,190,Guard
203112,6-7,79,240,Forward
203500,7-0,84,255,Center
1628389,6-10,82,255,Center-Forward
201167,6-5,77,210,Guard
201582,7-2,86,248,Center
202332,6-11,83,253,Center
200746,6-11,83,260,Forward
1628386,6-11,83,234,Center
1628443,6-3,75,200,Guard
202329,6-9,81,220,Forward
1626147,6-6,78,230,Guard-Forward
203937,6-9,81,230,Forward
201583,6-10,82,240,Forward
1628387,6-10,82,262,Center
203507,6-11,83,222,Forward
2546,6-8,80,240,Forward
1628384,6-8,80,235,Forward
1627853,6-3,75,195,Guard
2772,6-8,80,215,Forward-Guard
201589,6-9,81,235,Forward
1628503,6-7,79,213,Guard
201600,7-0,84,255,Center
201571,6-0,72,183,Guard
202337,6-9,81,225,Forward
1628407,6-7,79,221,Forward
1627758,6-4,76,220,Guard
1627735,6-4,76,202,Guard
1628366,6-6,78,190,Guard
200826,6-0,72,185,Guard
203084,6-8,80,225,Forward
203115,6-6,78,190,Forward-Guard
201587,6-8,80,200,Guard-Forward
201573,6-3,75,200,Guard
203382,6-10,82,260,Center
203145,6-5,77,201,Guard
203078,6-5,77,207,Guard
1627736,6-5,77,196,Guard
201563,6-9,81,235,Forward
201158,6-5,77,210,Guard-Forward
1628395,6-9,81,224,Center-Forward
1627761,6-6,78,210,Forward-Guard
1627733,7-1,85,225,Forward
202722,6-10,82,210,Center-Forward
201976,6-1,73,185,Guard
203920,6-9,81,220,Center
1628444,6-6,78,198,Guard
202687,6-9,81,255,Center
202357,6-10,82,230,Forward
204028,6-9,81,250,Forward-Center
1628469,6-4,76,197,Guard
202339,6-1,73,205,Guard
203992,6-6,78,205,Guard
202711,6-8,80,230,Forward
1626164,6-6,78,210,Guard
202344,6-8,80,228,Forward
1628449,6-10,82,200,Forward
202340,6-2,74,180,Guard
1628396,6-10,82,248,Center
201147,6-9,81,186,Guard-Forward
1627763,6-5,77,215,Guard
201166,6-0,72,161,Guard
1628415,6-6,78,220,Forward-Guard
202705,6-5,77,200,Guard-Forward
1626148,6-7,79,224,Forward
1627759,6-7,79,225,Guard-Forward
