index,Player,realgm ID,Gl 3Pmpg,Gl Astpg,Gl Fgapg,Gl Ptspg,Gl Rebpg,GLeague Clusters,Height,Weight
0,Gary Payton II,/player/Gary-Payton-II/Summary/80992,1.6,3.6,12.3,15.6,7.2,Low Usage Defenders,75,190
1,Edy Tavares,/player/Edy-Tavares/Summary/39662,0,1.7,10.7,15.9,12.6,Inside Scoring Bigs ,87,265
2,Coby Karl,/player/Coby-Karl/Summary/788,1.8,5.5,11.4,15.8,4.8,Facilitators,77,215
3,Jarrod Uthoff,/player/Jarrod-Uthoff/Summary/24236,1.2,2.4,12.7,16.3,9.4,Low Usage Defenders,81,221
4,Carldell Johnson,/player/Squeaky-Johnson/Summary/1760,1.4,6.2,9.2,11,3.8,Facilitators,70,180
5,Arinze Onuaku,/player/Arinze-Onuaku/Summary/2316,0,1.3,13,19.3,13.7,Inside Scoring Bigs ,81,255
6,Chris Babb,/player/Chris-Babb/Summary/3969,2.6,3,11.2,14,5.8,Low Usage Defenders,77,225
7,Justin Harper,/player/Justin-Harper/Summary/10687,2.3,1.7,14.9,18.4,8.1,Swiss Army Knives,82,225
8,Trey Johnson,/player/Trey-Johnson/Summary/932,0.7,4.9,15.6,20.4,3.9,Swiss Army Knives,77,215
9,Alex Poythress,/player/Alex-Poythress/Summary/24266,0.8,1.7,15.7,21.4,8.2,High Usage Scoring Bigs,79,238
10,James Nunnally,/player/James-Nunnally/Summary/16887,2.8,3.6,14.4,19.1,5.1,Swiss Army Knives,79,220
11,Mustafa Shakur,/player/Mustafa-Shakur/Summary/890,1,6.1,13.1,17.7,4.4,Facilitators,75,190
12,Jamaal Franklin,/player/Jamaal-Franklin/Summary/23977,2,6.2,13.2,19.9,8.4,Swiss Army Knives,77,191
13,Jerome Dyson,/player/Jerome-Dyson/Summary/4354,1.6,3.6,15.2,19.7,3.9,Swiss Army Knives,75,180
14,Quinn Cook,/player/Quinn-Cook/Summary/24179,2.2,6,17.1,22.6,4,Swiss Army Knives,74,179
15,Bryce Cotton,/player/Bryce-Cotton/Summary/22416,2.4,4.2,14.5,20.2,4.1,Swiss Army Knives,73,165
16,Jarell Eddie,/player/Jarell-Eddie/Summary/23553,3.6,1.6,13.1,17.8,4.9,Swiss Army Knives,79,218
17,Maalik Wayns,/player/Maalik-Wayns/Summary/2203,1.6,6.9,16.9,18.5,3.8,Swiss Army Knives,73,195
18,Kyle Weaver,/player/Kyle-Weaver/Summary/808,1.4,4,11.4,14.6,5.5,Low Usage Defenders,78,200
19,Larry Owens,/player/Larry-Owens/Summary/1793,1.2,3.2,11.7,14.3,5.7,Low Usage Defenders,79,215
20,Larry Drew II,/player/Larry-Drew/Summary/2172,1.3,8.4,9.1,11.6,3.6,Facilitators,74,180
21,Chris Richard,/player/Chris-Richard/Summary/10,0,1.5,10.5,12.8,10.4,Low Usage Defenders,81,255
