PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,USG_PCT,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,USG_PCT_RANK,PCT_FGM_RANK,PCT_FGA_RANK,PCT_FG3M_RANK,PCT_FG3A_RANK,PCT_FTM_RANK,PCT_FTA_RANK,PCT_OREB_RANK,PCT_DREB_RANK,PCT_REB_RANK,PCT_AST_RANK,PCT_TOV_RANK,PCT_STL_RANK,PCT_BLK_RANK,PCT_BLKA_RANK,PCT_PF_RANK,PCT_PFD_RANK,PCT_PTS_RANK,CFID,CFPARAMS
1629356,AJ Mosby,1612709900,NAS,22.0,4,0,4,0.0,53.0,0.131,0.154,0.133,0.154,0.162,0.083,0.056,0.125,0.108,0.113,0.261,0.2,0.6,0.0,0.5,0.129,0.083,0.146,320,373,145,373,338,336,270,333,220,242,321,349,221,342,322,91,214,2,318,381,49,346,291,5,"1629356,1612709900"
1629200,Aaron Epps,1612709900,NAS,22.0,16,3,13,0.188,365.0,0.11,0.141,0.132,0.343,0.255,0.0,0.0,0.171,0.306,0.277,0.056,0.074,0.107,0.4,0.043,0.261,0.05,0.141,9,246,387,355,82,365,296,337,59,124,367,369,171,47,85,362,27,319,55,50,295,370,299,5,"1629200,1612709900"
1627846,Abdel Nader,1612709889,OKL,25.0,3,3,0,1.0,89.0,0.3,0.318,0.327,0.294,0.365,0.318,0.313,0.174,0.225,0.213,0.216,0.267,0.25,0.0,0.375,0.122,0.333,0.316,338,246,1,1,311,18,23,10,93,23,53,54,166,127,141,129,332,81,318,364,40,34,17,5,"1627846,1612709889"
203583,Abdul Gaddy,1612709889,OKL,26.0,14,11,3,0.786,427.0,0.14,0.148,0.136,0.11,0.106,0.071,0.099,0.047,0.131,0.107,0.486,0.211,0.147,0.047,0.105,0.205,0.128,0.133,40,10,99,40,40,318,280,326,261,294,333,313,335,300,335,9,250,264,279,96,194,294,311,5,"203583,1612709889"
1627967,Adam Woodbury,1612709917,GRD,24.0,3,2,1,0.667,27.0,0.197,0.353,0.205,0.0,0.0,0.222,0.3,0.625,0.5,0.545,0.0,0.25,0.25,0.0,0.143,0.333,0.5,0.286,338,295,21,90,369,171,7,171,323,362,131,65,9,4,4,381,307,81,318,133,354,2,37,5,"1627967,1612709917"
1628596,Akeem Springs,1612709903,SLC,24.0,12,5,7,0.417,193.0,0.143,0.125,0.172,0.277,0.297,0.089,0.06,0.022,0.121,0.094,0.112,0.072,0.158,0.091,0.16,0.127,0.111,0.137,138,161,291,261,240,314,319,249,107,74,314,346,358,325,357,277,26,243,237,166,47,309,306,5,"1628596,1612709903"
1626210,Alan Williams,1612709921,LIN,25.0,11,8,3,0.727,277.0,0.269,0.319,0.279,0.02,0.034,0.357,0.351,0.453,0.409,0.42,0.115,0.223,0.115,0.36,0.321,0.306,0.36,0.305,173,50,99,63,156,32,20,37,318,347,36,36,42,10,8,269,269,306,70,337,337,20,25,5,"1626210,1612709921"
1629346,Alen Smailagic,1612709902,SCW,18.0,14,10,4,0.714,275.0,0.215,0.242,0.217,0.17,0.193,0.305,0.305,0.333,0.21,0.254,0.083,0.216,0.217,0.395,0.351,0.201,0.26,0.247,40,22,145,66,160,113,89,138,201,210,62,61,75,150,104,333,260,138,60,356,187,93,78,5,"1629346,1612709902"
1627936,Alex Caruso,1612709905,SBL,24.0,12,6,6,0.5,334.0,0.229,0.199,0.207,0.255,0.252,0.311,0.289,0.114,0.155,0.145,0.421,0.319,0.397,0.163,0.179,0.204,0.287,0.223,138,106,234,175,111,83,177,167,127,129,58,74,239,253,262,21,362,9,182,188,191,63,125,5,"1627936,1612709905"
1628993,Alize Johnson,1612709910,FWN,22.0,9,5,4,0.556,342.0,0.199,0.246,0.217,0.13,0.119,0.132,0.122,0.469,0.322,0.364,0.178,0.185,0.161,0.12,0.342,0.173,0.176,0.214,227,161,145,146,103,165,85,141,244,284,264,288,37,39,26,177,187,240,212,354,130,203,145,5,"1628993,1612709910"
